Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Allsvenskan,10,Mon,2024-05-20,19:00,Sirius,0–0,Västerås,7150,Studenternas IP,,Match Report,
Allsvenskan,10,Mon,2024-05-20,19:10,BK Häcken,2–2,Malmö,5952,Bravida Arena,,Match Report,
Allsvenskan,10,Tue,2024-05-21,19:00,Göteborg,1–0,Mjällby,15743,Gamla Ullevi (1916),,Match Report,
,,,,,,,,,,,,
Allsvenskan,11,Fri,2024-05-24,19:00,Elfsborg,2–0,Halmstad,7122,Borås Arena,,Match Report,
Allsvenskan,11,Fri,2024-05-24,19:00,Malmö,5–0,Kalmar,20546,Eleda Stadion,,Match Report,
Allsvenskan,11,Sat,2024-05-25,16:00,GAIS,3–0,BK Häcken,10834,Gamla Ullevi (1916),,Match Report,
Allsvenskan,11,Sat,2024-05-25,17:30,Mjällby,1–3,Djurgården,5005,Strandvallen A-Plan,,Match Report,
Allsvenskan,11,Sun,2024-05-26,14:00,Hammarby,3–0,Sirius,20315,Tele2 Arena,,Match Report,
Allsvenskan,11,Sun,2024-05-26,16:30,Västerås,1–1,Brommapojkarna,5355,Hitachi Energy Arena,,Match Report,
Allsvenskan,11,Mon,2024-05-27,19:00,Norrköping,0–4,Värnamo,5289,PlatinumCars Arena,,Match Report,
Allsvenskan,11,Mon,2024-05-27,19:10,AIK Stockholm,5–2,Göteborg,25932,Strawberry Arena,,Match Report,
,,,,,,,,,,,,
Allsvenskan,17,Tue,2024-05-28,19:00,Malmö,2–1,Elfsborg,20488,Eleda Stadion,,Match Report,
Allsvenskan,17,Wed,2024-05-29,19:00,Mjällby,2–1,BK Häcken,2649,Strandvallen A-Plan,,Match Report,
,,,,,,,,,,,,
Allsvenskan,12,Sat,2024-06-01,15:00,Göteborg,1–0,Elfsborg,17183,Nya Gamla Ullevi,,Match Report,
Allsvenskan,12,Sat,2024-06-01,15:00,Brommapojkarna,2–2,Malmö,3480,Grimsta IP,,Match Report,
Allsvenskan,12,Sat,2024-06-01,17:30,Halmstad,4–0,GAIS,8030,Örjans Vall,,Match Report,
Allsvenskan,12,Sat,2024-06-01,17:30,Sirius,5–1,Norrköping,6529,Studenternas IP,Kristoffer Karlsson,Match Report,
Allsvenskan,12,Sun,2024-06-02,14:00,Kalmar,0–4,Västerås,5236,Guldfågeln Arena,,Match Report,
Allsvenskan,12,Sun,2024-06-02,14:00,Djurgården,0–3,Hammarby,27344,Tele2 Arena,,Match Report,
Allsvenskan,12,Sun,2024-06-02,16:30,BK Häcken,4–1,AIK Stockholm,6216,Bravida Arena,,Match Report,
Allsvenskan,12,Sun,2024-06-02,16:30,Värnamo,1–2,Mjällby,1907,Finnvedsvallen,,Match Report,
,,,,,,,,,,,,
Allsvenskan,13,Sat,2024-07-06,15:00,Mjällby,3–2,Sirius,3374,Strandvallen A-Plan,,Match Report,
Allsvenskan,13,Sat,2024-07-06,15:00,Elfsborg,3–0,Brommapojkarna,5905,Borås Arena,,Match Report,
Allsvenskan,13,Sun,2024-07-07,14:00,AIK Stockholm,1–2,Kalmar,23522,Strawberry Arena,,Match Report,
Allsvenskan,13,Sun,2024-07-07,14:00,Värnamo,2–0,Göteborg,4277,Finnvedsvallen,,Match Report,
Allsvenskan,13,Sun,2024-07-07,16:30,GAIS,0–0,Hammarby,15206,Nya Gamla Ullevi,,Match Report,
Allsvenskan,13,Sun,2024-07-07,16:30,Malmö,5–1,Halmstad,20081,Eleda Stadion,,Match Report,
Allsvenskan,13,Mon,2024-07-08,19:00,Västerås,1–2,BK Häcken,6070,Hitachi Energy Arena,,Match Report,
Allsvenskan,13,Mon,2024-07-08,19:00,Norrköping,1–3,Djurgården,12616,PlatinumCars Arena,,Match Report,
,,,,,,,,,,,,
Allsvenskan,14,Sat,2024-07-13,15:00,Mjällby,2–1,Malmö,5919,Strandvallen A-Plan,Oscar Johnson,Match Report,
