Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Eliteserien,12,Sun,2024-06-30,15:00,Viking,4–2,Rosenborg,11512,SR-Bank Arena,,Match Report,
,,,,,,,,,,,,
Eliteserien,2,Wed,2024-07-03,19:00,Sandefjord,1–2,Tromsø,3307,Jotun Arena,,Match Report,
,,,,,,,,,,,,
Eliteserien,13,Sun,2024-07-07,14:30,Bodø/Glimt,5–1,Brann,8118,Aspmyra Stadion,,Match Report,
Eliteserien,13,Sun,2024-07-07,17:00,KFUM Oslo,1–2,Viking,2807,KFUM Arena,,Match Report,
Eliteserien,13,Sun,2024-07-07,17:00,Haugesund,1–2,Sarpsborg 08,3641,Haugesund Stadion,,Match Report,
Eliteserien,13,Sun,2024-07-07,17:00,Molde,3–0,Lillestrøm,7050,Aker Stadion,,Match Report,
Eliteserien,13,Sun,2024-07-07,17:00,HamKam,0–0,Tromsø,4406,Briskeby Arena,,Match Report,
Eliteserien,13,Sun,2024-07-07,19:15,Rosenborg,2–1,Odd,10434,Lerkendal Stadion,,Match Report,
Eliteserien,13,Mon,2024-07-08,19:00,Kristiansund,3–1,Fredrikstad,3621,Aker Stadion,,Match Report,
Eliteserien,13,Mon,2024-07-08,19:00,Strømsgodset,1–1,Sandefjord,4871,Marienlyst Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,14,Fri,2024-07-12,19:00,Sarpsborg 08,4–1,Rosenborg,5304,Sarpsborg Stadion,,Match Report,
Eliteserien,14,Sat,2024-07-13,17:00,Odd,1–2,HamKam,3783,Skagerak Arena,,Match Report,
Eliteserien,14,Sat,2024-07-13,17:00,Lillestrøm,3–1,Strømsgodset,5918,Åråsen Stadion,,Match Report,
Eliteserien,14,Sat,2024-07-13,17:00,Fredrikstad,0–0,Molde,9115,Nye Fredrikstad Stadion,,Match Report,
Eliteserien,14,Sat,2024-07-13,17:00,Sandefjord,2–1,Bodø/Glimt,4179,Jotun Arena,Mohammad Aslam,Match Report,
Eliteserien,14,Sat,2024-07-13,17:00,Viking,2–0,Kristiansund,10126,SR-Bank Arena,Svein Sinnes,Match Report,
Eliteserien,14,Sat,2024-07-13,19:15,Brann,1–1,Haugesund,15757,Brann Stadion,,Match Report,
Eliteserien,14,Sat,2024-07-13,22:00,Tromsø,1–2,KFUM Oslo,5267,Romssa Arena,Marius Lien,Match Report,
,,,,,,,,,,,,
Eliteserien,15,Fri,2024-07-19,19:00,Bodø/Glimt,3–1,Odd,6888,Aspmyra Stadion,Christian Moen,Match Report,
Eliteserien,15,Sat,2024-07-20,18:00,Sarpsborg 08,1–1,Brann,5457,Sarpsborg Stadion,,Match Report,
Eliteserien,15,Sat,2024-07-20,20:15,Molde,2–3,KFUM Oslo,7564,Aker Stadion,Sigurd Smehus Kringstad,Match Report,
Eliteserien,15,Sun,2024-07-21,14:30,Strømsgodset,0–1,Tromsø,4607,Marienlyst Stadion,,Match Report,
Eliteserien,15,Sun,2024-07-21,17:00,HamKam,0–1,Fredrikstad,4486,Briskeby Arena,Daniel Higraff,Match Report,
Eliteserien,15,Sun,2024-07-21,17:00,Haugesund,1–0,Viking,6828,Haugesund Stadion,Tore Hansen,Match Report,
,,,,,,,,,,,,
Eliteserien,16,Sat,2024-07-27,16:00,KFUM Oslo,1–1,Bodø/Glimt,3299,KFUM Arena,Svein Sinnes,Match Report,
Eliteserien,16,Sat,2024-07-27,18:00,Fredrikstad,2–2,Rosenborg,10630,Nye Fredrikstad Stadion,Tore Hansen,Match Report,
Eliteserien,16,Sun,2024-07-28,17:00,Tromsø,0–0,Kristiansund,4006,Romssa Arena,,Match Report,
Eliteserien,16,Sun,2024-07-28,17:00,Lillestrøm,2–2,Sarpsborg 08,6387,Åråsen Stadion,,Match Report,
Eliteserien,16,Sun,2024-07-28,17:00,Odd,2–0,Strømsgodset,3781,Skagerak Arena,,Match Report,
Eliteserien,16,Sun,2024-07-28,17:00,Sandefjord,4–3,Haugesund,3115,Jotun Arena,,Match Report,
Eliteserien,16,Sun,2024-07-28,19:15,Viking,1–0,Molde,10622,SR-Bank Arena,,Match Report,
,,,,,,,,,,,,
Eliteserien,17,Sat,2024-08-03,18:00,Bodø/Glimt,4–2,Haugesund,6647,Aspmyra Stadion,Marius Lien,Match Report,
Eliteserien,17,Sun,2024-08-04,17:00,Kristiansund,2–1,Lillestrøm,3374,Aker Stadion,Daniel Higraff,Match Report,
Eliteserien,17,Sun,2024-08-04,17:00,Strømsgodset,2–3,Brann,5601,Marienlyst Stadion,Tore Hansen,Match Report,
