Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
10,Sat,2026-10-31,,Mechelen,,Genk,,AFAS Stadion,,Head-to-Head,
10,Sat,2026-10-31,,Anderlecht,,Westerlo,,Lotto Park,,Head-to-Head,
10,Sat,2026-10-31,,Beveren,,Union SG,,,,Head-to-Head,
10,Sat,2026-10-31,,Cercle Brugge,,Antwerp,,Jan Breydelstadion,,Head-to-Head,
10,Sat,2026-10-31,,Zulte Waregem,,Club Brugge,,Elindus Arena,,Head-to-Head,
10,Sat,2026-10-31,,Lommel,,Gent,,Soevereinstadion,,Head-to-Head,
10,Sat,2026-10-31,,Standard Liège,,Kortrijk,,Stade Maurice Dufrasne,,Head-to-Head,
,,,,,,,,,,,
11,Sat,2026-11-07,,La Louvière,,Cercle Brugge,,Easi Arena,,Head-to-Head,
11,Sat,2026-11-07,,Club Brugge,,Anderlecht,,Jan Breydelstadion,,Head-to-Head,
11,Sat,2026-11-07,,Antwerp,,Lommel,,Bosuilstadion,,Head-to-Head,
11,Sat,2026-11-07,,Sint-Truiden,,Zulte Waregem,,Daio Wasabi Stayen Stadium,,Head-to-Head,
11,Sat,2026-11-07,,Union SG,,Genk,,Stade Joseph Mariën,,Head-to-Head,
11,Sat,2026-11-07,,Standard Liège,,Beveren,,Stade Maurice Dufrasne,,Head-to-Head,
11,Sat,2026-11-07,,Gent,,Kortrijk,,Planet Group Arena,,Head-to-Head,
11,Sat,2026-11-07,,Westerlo,,Charleroi,,Het Kuipje,,Head-to-Head,
11,Sat,2026-11-07,,OH Leuven,,Mechelen,,King Power at Den Dreef Stadion,,Head-to-Head,
,,,,,,,,,,,
12,Sat,2026-11-21,,Beveren,,Gent,,,,Head-to-Head,
12,Sat,2026-11-21,,Cercle Brugge,,Westerlo,,Jan Breydelstadion,,Head-to-Head,
12,Sat,2026-11-21,,Kortrijk,,Union SG,,,,Head-to-Head,
12,Sat,2026-11-21,,Zulte Waregem,,Antwerp,,Elindus Arena,,Head-to-Head,
12,Sat,2026-11-21,,Mechelen,,Club Brugge,,AFAS Stadion,,Head-to-Head,
12,Sat,2026-11-21,,Genk,,La Louvière,,Cegeka Arena,,Head-to-Head,
12,Sat,2026-11-21,,Lommel,,Standard Liège,,Soevereinstadion,,Head-to-Head,
12,Sat,2026-11-21,,Charleroi,,Sint-Truiden,,Stade du Pays de Charleroi,,Head-to-Head,
12,Sat,2026-11-21,,Anderlecht,,OH Leuven,,Lotto Park,,Head-to-Head,
,,,,,,,,,,,
13,Sat,2026-11-28,,Lommel,,Zulte Waregem,,Soevereinstadion,,Head-to-Head,
13,Sat,2026-11-28,,Westerlo,,La Louvière,,Het Kuipje,,Head-to-Head,
13,Sat,2026-11-28,,OH Leuven,,Kortrijk,,King Power at Den Dreef Stadion,,Head-to-Head,
13,Sat,2026-11-28,,Antwerp,,Anderlecht,,Bosuilstadion,,Head-to-Head,
13,Sat,2026-11-28,,Union SG,,Gent,,Stade Joseph Mariën,,Head-to-Head,
13,Sat,2026-11-28,,Standard Liège,,Club Brugge,,Stade Maurice Dufrasne,,Head-to-Head,
13,Sat,2026-11-28,,Charleroi,,Beveren,,Stade du Pays de Charleroi,,Head-to-Head,
13,Sat,2026-11-28,,Sint-Truiden,,Genk,,Daio Wasabi Stayen Stadium,,Head-to-Head,
13,Sat,2026-11-28,,Cercle Brugge,,Mechelen,,Jan Breydelstadion,,Head-to-Head,
,,,,,,,,,,,
