Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
12,Sat,2026-11-07,16:30,Fortuna Sittard,,Telstar,,Fortuna Sittard Stadion,,Head-to-Head,
12,Sat,2026-11-07,18:45,ADO Den Haag,,Sparta R.,,Bingoal Stadion,,Head-to-Head,
12,Sat,2026-11-07,21:00,Excelsior,,Go Ahead Eagles,,Van Donge & De Roo Stadion,,Head-to-Head,
12,Sun,2026-11-08,12:15,Heerenveen,,Feyenoord,,Abe Lenstra Stadion,,Head-to-Head,
12,Sun,2026-11-08,14:30,Twente,,Ajax,,De Grolsch Veste,,Head-to-Head,
12,Sun,2026-11-08,16:45,AZ Alkmaar,,Groningen,,AFAS Stadion,,Head-to-Head,
12,Sun,2026-11-08,16:45,Cambuur,,PSV,,Kooi Stadion,,Head-to-Head,
12,Sun,2026-11-08,20:00,Utrecht,,NEC Nijmegen,,Stadion Galgenwaard,,Head-to-Head,
,,,,,,,,,,,
13,Sat,2026-11-21,16:30,NEC Nijmegen,,PSV,,Goffertstadion,,Head-to-Head,
13,Sat,2026-11-21,18:45,Utrecht,,Cambuur,,Stadion Galgenwaard,,Head-to-Head,
13,Sat,2026-11-21,18:45,Feyenoord,,Excelsior,,Stadion Feijenoord,,Head-to-Head,
13,Sat,2026-11-21,21:00,Groningen,,Heerenveen,,Euroborg,,Head-to-Head,
13,Sat,2026-11-21,21:00,Telstar,,Zwolle,,BUKO Stadion,,Head-to-Head,
13,Sun,2026-11-22,12:15,Twente,,Willem II,,De Grolsch Veste,,Head-to-Head,
13,Sun,2026-11-22,14:30,Sparta R.,,AZ Alkmaar,,Sparta-Stadion Het Kasteel,,Head-to-Head,
13,Sun,2026-11-22,14:30,Ajax,,ADO Den Haag,,Johan Cruijff Arena,,Head-to-Head,
13,Sun,2026-11-22,16:45,Go Ahead Eagles,,Fortuna Sittard,,De Adelaarshorst,,Head-to-Head,
,,,,,,,,,,,
14,Fri,2026-11-27,20:00,Groningen,,Willem II,,Euroborg,,Head-to-Head,
14,Sat,2026-11-28,16:30,Excelsior,,Telstar,,Van Donge & De Roo Stadion,,Head-to-Head,
14,Sat,2026-11-28,18:45,PSV,,Go Ahead Eagles,,Philips Stadion,,Head-to-Head,
14,Sat,2026-11-28,21:00,Cambuur,,Sparta R.,,Kooi Stadion,,Head-to-Head,
14,Sun,2026-11-29,12:15,ADO Den Haag,,Utrecht,,Bingoal Stadion,,Head-to-Head,
14,Sun,2026-11-29,14:30,Feyenoord,,Ajax,,Stadion Feijenoord,,Head-to-Head,
14,Sun,2026-11-29,14:30,Fortuna Sittard,,Heerenveen,,Fortuna Sittard Stadion,,Head-to-Head,
14,Sun,2026-11-29,16:45,Zwolle,,AZ Alkmaar,,MAC³PARK Stadion,,Head-to-Head,
14,Sun,2026-11-29,20:00,NEC Nijmegen,,Twente,,Goffertstadion,,Head-to-Head,
,,,,,,,,,,,
15,Fri,2026-12-04,20:00,Telstar,,Groningen,,BUKO Stadion,,Head-to-Head,
15,Sat,2026-12-05,16:30,Willem II,,Feyenoord,,Koning Willem II Stadion,,Head-to-Head,
15,Sat,2026-12-05,18:45,Sparta R.,,NEC Nijmegen,,Sparta-Stadion Het Kasteel,,Head-to-Head,
15,Sat,2026-12-05,20:00,AZ Alkmaar,,PSV,,AFAS Stadion,,Head-to-Head,
15,Sat,2026-12-05,21:00,Fortuna Sittard,,Zwolle,,Fortuna Sittard Stadion,,Head-to-Head,
15,Sun,2026-12-06,12:15,Heerenveen,,Cambuur,,Abe Lenstra Stadion,,Head-to-Head,
15,Sun,2026-12-06,14:30,Go Ahead Eagles,,Twente,,De Adelaarshorst,,Head-to-Head,
15,Sun,2026-12-06,14:30,Ajax,,Utrecht,,Johan Cruijff Arena,,Head-to-Head,
15,Sun,2026-12-06,16:45,ADO Den Haag,,Excelsior,,Bingoal Stadion,,Head-to-Head,
,,,,,,,,,,,
16,Sat,2026-12-12,16:30,Utrecht,,Fortuna Sittard,,Stadion Galgenwaard,,Head-to-Head,
16,Sat,2026-12-12,18:45,Heerenveen,,Go Ahead Eagles,,Abe Lenstra Stadion,,Head-to-Head,
16,Sat,2026-12-12,21:00,Zwolle,,Excelsior,,MAC³PARK Stadion,,Head-to-Head,
16,Sun,2026-12-13,12:15,PSV,,Telstar,,Philips Stadion,,Head-to-Head,
16,Sun,2026-12-13,14:30,Groningen,,Feyenoord,,Euroborg,,Head-to-Head,
16,Sun,2026-12-13,14:30,Willem II,,ADO Den Haag,,Koning Willem II Stadion,,Head-to-Head,
16,Sun,2026-12-13,16:45,AZ Alkmaar,,NEC Nijmegen,,AFAS Stadion,,Head-to-Head,
16,Sun,2026-12-13,20:00,Ajax,,Cambuur,,Johan Cruijff Arena,,Head-to-Head,
,,,,,,,,,,,
17,Fri,2026-12-18,20:00,Telstar,,Willem II,,BUKO Stadion,,Head-to-Head,
17,Sat,2026-12-19,16:30,Excelsior,,AZ Alkmaar,,Van Donge & De Roo Stadion,,Head-to-Head,
17,Sat,2026-12-19,18:45,Fortuna Sittard,,Sparta R.,,Fortuna Sittard Stadion,,Head-to-Head,
17,Sat,2026-12-19,21:00,Utrecht,,Heerenveen,,Stadion Galgenwaard,,Head-to-Head,
17,Sun,2026-12-20,12:15,NEC Nijmegen,,ADO Den Haag,,Goffertstadion,,Head-to-Head,
17,Sun,2026-12-20,14:30,Cambuur,,Groningen,,Kooi Stadion,,Head-to-Head,
17,Sun,2026-12-20,14:30,Feyenoord,,Twente,,Stadion Feijenoord,,Head-to-Head,
17,Sun,2026-12-20,16:45,Go Ahead Eagles,,Ajax,,De Adelaarshorst,,Head-to-Head,
17,Sun,2026-12-20,20:00,PSV,,Zwolle,,Philips Stadion,,Head-to-Head,
,,,,,,,,,,,
18,Fri,2027-01-08,20:00,Twente,,Fortuna Sittard,,De Grolsch Veste,,Head-to-Head,
18,Sat,2027-01-09,16:30,Sparta R.,,Excelsior,,Sparta-Stadion Het Kasteel,,Head-to-Head,
18,Sat,2027-01-09,18:45,Zwolle,,Utrecht,,MAC³PARK Stadion,,Head-to-Head,
18,Sat,2027-01-09,20:00,Willem II,,Ajax,,Koning Willem II Stadion,,Head-to-Head,
18,Sat,2027-01-09,21:00,AZ Alkmaar,,Heerenveen,,AFAS Stadion,,Head-to-Head,
18,Sun,2027-01-10,12:15,NEC Nijmegen,,Cambuur,,Goffertstadion,,Head-to-Head,
