Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
14,Sat,2026-12-19,,Augsburg,,Paderborn 07,,WWK Arena,,Head-to-Head,
14,Sat,2026-12-19,,Leverkusen,,Frankfurt,,BayArena,,Head-to-Head,
14,Sat,2026-12-19,,Freiburg,,Stuttgart,,Europa-Park Stadion,,Head-to-Head,
14,Sat,2026-12-19,,Bayern Munich,,Werder Bremen,,Allianz Arena,,Head-to-Head,
14,Sat,2026-12-19,,Union Berlin,,Hoffenheim,,Stadion An der Alten Försterei,,Head-to-Head,
14,Sat,2026-12-19,,Schalke 04,,Gladbach,,Veltins-Arena,,Head-to-Head,
14,Sat,2026-12-19,,Mainz 05,,Köln,,Mewa Arena,,Head-to-Head,
14,Sat,2026-12-19,,Elversberg,,Hamburger SV,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
,,,,,,,,,,,
15,Sat,2027-01-09,,Werder Bremen,,Union Berlin,,Weserstadion,,Head-to-Head,
15,Sat,2027-01-09,,Hamburger SV,,Leverkusen,,Volksparkstadion,,Head-to-Head,
15,Sat,2027-01-09,,Hoffenheim,,Elversberg,,PreZero Arena,,Head-to-Head,
15,Sat,2027-01-09,,Köln,,Freiburg,,RheinEnergieSTADION,,Head-to-Head,
15,Sat,2027-01-09,,Paderborn 07,,RB Leipzig,,Home Deluxe Arena,,Head-to-Head,
15,Sat,2027-01-09,,Dortmund,,Mainz 05,,Signal Iduna Park,,Head-to-Head,
15,Sat,2027-01-09,,Stuttgart,,Augsburg,,MHPArena,,Head-to-Head,
15,Sat,2027-01-09,,Gladbach,,Bayern Munich,,Stadion im Borussia-Park,,Head-to-Head,
15,Sat,2027-01-09,,Frankfurt,,Schalke 04,,Deutsche Bank Park,,Head-to-Head,
,,,,,,,,,,,
16,Wed,2027-01-13,,Bayern Munich,,Leverkusen,,Allianz Arena,,Head-to-Head,
16,Wed,2027-01-13,,Freiburg,,Hamburger SV,,Europa-Park Stadion,,Head-to-Head,
16,Wed,2027-01-13,,Mainz 05,,Hoffenheim,,Mewa Arena,,Head-to-Head,
16,Wed,2027-01-13,,Schalke 04,,Werder Bremen,,Veltins-Arena,,Head-to-Head,
